"Work Order Number","SA: Type","SA: Schedule Exception Reason","SA: Duration","SA: Status","Entitlement Process Start Time","Created Date","SA: Scheduled Start","SA: Earliest Start Permitted","SA: Due Date","SA: Schedule Mode","SA: Service Territory","SA: Appointment Number"
"WO00035546","Onsite Visit","","80.00","Completed","5/6/2019 12:20 PM","5/6/2019","5/7/2019 11:30 AM","5/7/2019 8:30 AM","5/7/2019 3:20 PM","Manual","AU - NSW","SA-0039641"
"WO00029500","Onsite Visit","No Service Territory","80.00","Completed","3/15/2019 11:24 PM","3/15/2019","4/2/2019 1:00 PM","3/16/2019 12:00 AM","3/16/2019 5:24 AM","Manual","","SA-0033373"
"WO00027215","Parts Pickup","Parts are not available by the Due Date.","20.00","Completed","2/26/2019 9:32 AM","2/26/2019","4/12/2019 8:15 AM","3/1/2019 9:00 PM","3/2/2019 2:00 AM","Manual","NZ - North Island","SA-0031409"
"WO00027215","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","2/26/2019 9:32 AM","2/26/2019","4/12/2019 8:45 AM","2/25/2019 10:00 PM","2/26/2019 1:32 PM","Manual","NZ - North Island","SA-0031410"
"WO00027391","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","2/27/2019 10:24 AM","2/27/2019","4/13/2019 1:00 PM","2/27/2019 1:00 AM","2/27/2019 2:24 PM","Manual","AU - QLD","SA-0031074"
"WO00029274","Onsite Visit","No Service Territory","80.00","Completed","3/14/2019 2:00 PM","3/14/2019","3/15/2019 7:15 AM","3/13/2019 10:00 PM","3/14/2019 6:00 PM","Manual","","SA-0033218"
"WO00036422","Onsite Visit","","80.00","Completed","5/13/2019 9:53 AM","5/13/2019","5/15/2019 2:45 PM","5/13/2019 12:00 AM","5/13/2019 1:53 PM","Manual","AU - NSW","SA-0040498"
"WO00035481","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","4/26/2019 9:06 AM","4/26/2019","5/6/2019 2:00 PM","4/26/2019 2:00 AM","5/6/2019 10:57 AM","Manual","AU - WA","SA-0039582"
"WO00035481","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","4/26/2019 9:06 AM","4/26/2019","5/6/2019 1:45 PM","4/26/2019 2:00 AM","5/6/2019 10:57 AM","Manual","AU - WA","SA-0039583"
"WO00029117","Onsite Visit","","240.00","Completed","3/13/2019 3:56 PM","3/13/2019","5/22/2019 12:00 PM","5/14/2019 3:14 PM","5/14/2019 3:14 PM","Manual","AU - QLD","SA-0032961"
"WO00036446","Parts Pickup","","30.00","Completed","5/13/2019 11:15 AM","5/13/2019","5/15/2019 12:24 PM","5/13/2019 12:00 AM","5/13/2019 3:15 PM","Manual","AU - VIC","SA-0040598"
"WO00036446","Onsite Visit","","80.00","Completed","5/13/2019 11:15 AM","5/13/2019","5/15/2019 2:00 PM","5/13/2019 12:00 AM","5/13/2019 3:15 PM","Manual","AU - VIC","SA-0040599"
"WO00036424","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","5/13/2019 10:02 AM","5/13/2019","5/13/2019 12:15 PM","5/13/2019 12:00 AM","5/13/2019 2:02 PM","Manual","AU - NSW","SA-0040503"
"WO00036462","Onsite Visit","","80.00","Completed","5/13/2019 12:01 PM","5/13/2019","5/16/2019 8:00 PM","5/13/2019 2:00 AM","5/13/2019 4:01 PM","Manual","AU - WA","SA-0040540"
"WO00030539","Onsite Visit","No SSRs were found.","80.00","Completed","3/23/2019 10:00 AM","3/23/2019","4/2/2019 4:00 PM","3/26/2019 9:30 AM","3/26/2019 12:30 PM","Manual","AU - NSW","SA-0034613"
"WO00026862","Parts Pickup","Parts are not available by the Due Date.","20.00","Completed","2/22/2019 2:47 AM","2/22/2019","5/23/2019 10:45 AM","2/22/2019 3:00 AM","5/10/2019 10:03 PM","Manual","AU - WA","SA-0030454"
"WO00026862","Onsite Visit","Parts are not available by the Due Date.","240.00","Completed","2/22/2019 2:47 AM","2/22/2019","5/23/2019 10:30 PM","2/22/2019 3:00 AM","5/10/2019 10:03 PM","Manual","AU - WA","SA-0030455"
"WO00031396","Parts Pickup","Parts are not available by the Due Date.","20.00","Completed","3/29/2019 6:20 PM","3/29/2019","4/1/2019 11:00 AM","3/29/2018 10:00 PM","3/29/2019 10:20 PM","Manual","AU - NSW","SA-0035500"
"WO00031396","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","3/29/2019 6:20 PM","3/29/2019","4/1/2019 1:00 PM","3/29/2019 12:00 AM","3/29/2019 10:20 PM","Manual","AU - NSW","SA-0035501"
"WO00037335","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/20/2019 9:45 AM","5/20/2019","5/20/2019 1:45 PM","5/20/2019 12:00 AM","5/20/2019 1:45 PM","Manual","AU - NSW","SA-0041465"
"WO00037335","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","5/20/2019 9:45 AM","5/20/2019","5/20/2019 1:30 PM","5/20/2019 12:00 AM","5/20/2019 1:45 PM","Manual","AU - NSW","SA-0041464"
"WO00040060","Onsite Visit","No SSRs were found.","80.00","Completed","6/7/2019 2:24 PM","6/7/2019","6/15/2019 6:00 AM","6/7/2019 12:00 AM","6/7/2019 6:24 PM","Manual","AU - NSW","SA-0044250"
"WO00032988","Parts Pickup","Parts are not available by the Due Date.","80.00","Completed","4/10/2019 4:41 PM","4/10/2019","4/12/2019 10:00 AM","4/10/2019 12:00 AM","4/10/2019 10:41 PM","Manual","AU - NSW","SA-0037150"
"WO00032988","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","4/10/2019 4:41 PM","4/10/2019","4/12/2019 10:00 AM","4/10/2019 12:00 AM","4/10/2019 10:41 PM","Manual","AU - NSW","SA-0037051"
"WO00030398","Parts Pickup","Parts are not available by the Due Date.","20.00","Completed","3/22/2019 9:08 AM","3/22/2019","4/6/2019 8:00 PM","3/22/2019 12:00 AM","3/22/2019 3:08 PM","Manual","AU - VIC","SA-0034481"
"WO00030398","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","3/22/2019 9:08 AM","3/22/2019","4/6/2019 8:00 PM","3/22/2019 12:00 AM","3/22/2019 3:08 PM","Manual","AU - VIC","SA-0034482"
"WO00039215","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","6/2/2019 6:13 PM","6/2/2019","6/3/2019 11:00 AM","6/2/2019 12:00 AM","6/2/2019 12:13 AM","Manual","AU - QLD","SA-0043306"
"WO00039215","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","6/2/2019 6:13 PM","6/2/2019","6/4/2019 9:25 AM","6/2/2019 12:00 AM","6/2/2019 12:13 AM","Manual","AU - QLD","SA-0043307"
"WO00036103","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","5/9/2019 2:41 PM","5/9/2019","5/9/2019 3:15 PM","5/9/2019 12:00 AM","5/9/2019 6:41 PM","Manual","AU - NSW","SA-0040227"
"WO00036103","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/9/2019 2:41 PM","5/9/2019","5/10/2019 12:00 PM","5/9/2019 12:00 AM","5/9/2019 6:41 PM","Manual","AU - NSW","SA-0040228"
"WO00032998","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","4/10/2019 6:00 PM","4/10/2019","4/16/2019 10:12 AM","4/12/2019 8:30 AM","4/12/2019 11:30 AM","Manual","AU - VIC","SA-0037059"
"WO00030444","Onsite Visit","No SSRs were found.","80.00","Completed","3/22/2019 1:23 PM","3/22/2019","4/2/2019 5:00 PM","3/22/2019 12:00 AM","3/22/2019 7:23 PM","Manual","AU - NSW","SA-0034502"
"WO00030870","Onsite Visit","No SSRs were found.","80.00","Completed","3/26/2019 4:15 PM","3/26/2019","4/1/2019 2:00 PM","3/26/2019 12:00 AM","3/26/2019 6:15 PM","Manual","AU - VIC","SA-0034941"
"WO00039879","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","6/6/2019 12:41 PM","6/6/2019","6/7/2019 9:56 AM","6/7/2019 9:56 AM","6/7/2019 10:56 AM","Manual","AU - SA","SA-0044022"
"WO00035747","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","5/7/2019 12:08 PM","5/7/2019","5/8/2019 2:45 PM","5/7/2019 12:00 AM","5/8/2019 6:55 PM","Manual","AU - NSW","SA-0039858"
"WO00035757","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","5/7/2019 12:51 PM","5/7/2019","5/7/2019 1:00 PM","5/7/2019 12:00 AM","5/7/2019 2:51 PM","Manual","AU - NSW","SA-0039885"
"WO00035757","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/7/2019 12:51 PM","5/7/2019","5/7/2019 1:00 PM","5/7/2019 12:00 AM","5/7/2019 2:51 PM","Manual","AU - NSW","SA-0039886"
"WO00030843","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","3/26/2019 2:59 PM","3/26/2019","4/9/2019 10:30 AM","3/26/2019 12:00 AM","3/26/2019 6:59 PM","Manual","AU - VIC","SA-0035006"
"WO00032807","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","4/9/2019 4:44 PM","4/9/2019","4/11/2019 8:30 AM","4/9/2019 12:00 AM","4/9/2019 10:44 PM","Manual","AU - ACT","SA-0036868"
"WO00032807","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","4/9/2019 4:44 PM","4/9/2019","4/11/2019 9:15 AM","4/9/2019 12:00 AM","4/9/2019 10:44 PM","Manual","AU - ACT","SA-0036869"
"WO00034530","Onsite Visit","","80.00","Completed","4/26/2019 3:40 PM","4/26/2019","4/27/2019 11:00 PM","4/26/2019 12:30 AM","4/26/2019 9:40 PM","Manual","AU - SA","SA-0038619"
"WO00032753","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","4/9/2019 1:50 PM","4/9/2019","4/15/2019 2:15 PM","4/9/2019 12:00 AM","4/9/2019 7:50 PM","Manual","AU - NSW","SA-0036838"
"WO00037338","Onsite Visit","No SSRs were found.","80.00","Completed","5/20/2019 10:20 AM","5/20/2019","5/21/2019 10:30 AM","5/21/2019 8:30 AM","5/21/2019 1:20 PM","Manual","AU - NSW","SA-0041452"
"WO00036129","Onsite Visit","No SSRs were found.","80.00","Completed","5/9/2019 4:31 PM","5/9/2019","5/10/2019 1:00 PM","5/9/2019 12:00 AM","5/9/2019 8:31 PM","Manual","AU - NSW","SA-0040249"
"WO00037374","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/20/2019 12:03 PM","5/20/2019","5/21/2019 3:45 PM","5/20/2019 12:00 AM","5/21/2019 8:22 PM","Manual","AU - VIC","SA-0041729"
"WO00039941","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","6/6/2019 5:50 PM","6/6/2019","6/14/2019 1:45 PM","6/11/2019 8:30 AM","6/11/2019 11:30 AM","Manual","AU - NSW","SA-0044094"
"WO00033983","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","4/18/2019 11:21 AM","4/18/2019","4/18/2019 4:00 PM","4/18/2019 12:00 AM","4/18/2019 3:21 PM","Manual","AU - NSW","SA-0038059"
"WO00033983","Parts Pickup","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","4/18/2019 11:21 AM","4/18/2019","4/18/2019 4:00 PM","4/18/2019 12:00 AM","4/18/2019 3:21 PM","Manual","AU - NSW","SA-0038062"
"WO00035928","Onsite Visit","","80.00","Completed","5/8/2019 1:40 PM","5/8/2019","5/9/2019 1:16 PM","5/9/2019 8:30 AM","5/9/2019 4:40 PM","Optimization","AU - NSW","SA-0040055"
"WO00032498","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","4/8/2019 10:08 AM","4/8/2019","4/9/2019 12:00 PM","4/8/2019 12:00 AM","4/8/2019 2:08 PM","Manual","AU - NSW","SA-0036546"
"WO00039461","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","6/4/2019 11:56 AM","6/4/2019","","6/4/2019 12:30 AM","6/4/2019 1:56 PM","Manual","AU - SA","SA-0043577"
"WO00039900","Onsite Visit","","80.00","Completed","6/6/2019 2:38 PM","6/6/2019","6/7/2019 11:30 AM","6/6/2019 12:00 AM","6/6/2019 6:38 PM","Manual","AU - NSW","SA-0044045"
"WO00039541","Onsite Visit","","80.00","Completed","6/4/2019 3:54 PM","6/4/2019","6/5/2019 2:30 PM","6/4/2019 12:00 AM","6/4/2019 9:54 PM","Manual","AU - VIC","SA-0043661"
"WO00035537","Parts Pickup","","30.00","Completed","5/6/2019 12:09 PM","5/6/2019","5/8/2019 11:30 AM","5/7/2019 12:00 PM","5/8/2019 11:30 AM","Manual","AU - QLD","SA-0039634"
"WO00035537","Onsite Visit","","80.00","Completed","5/6/2019 12:09 PM","5/6/2019","5/9/2019 10:30 AM","5/8/2019 8:30 AM","5/8/2019 11:30 AM","Manual","AU - QLD","SA-0039635"
"WO00032499","Onsite Visit","","80.00","Completed","4/8/2019 10:21 AM","4/8/2019","4/9/2019 10:45 AM","4/7/2019 10:00 PM","4/8/2019 4:21 PM","Manual","NZ - North Island","SA-0036547"
"WO00037435","Onsite Visit","","80.00","Completed","5/20/2019 4:10 PM","5/20/2019","5/21/2019 8:30 AM","5/20/2019 12:00 AM","5/20/2019 10:10 PM","Optimization","AU - NSW","SA-0041552"
"WO00035721","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","5/7/2019 11:10 AM","5/7/2019","5/8/2019 8:30 AM","5/7/2019 12:00 AM","5/7/2019 3:10 PM","Manual","AU - VIC","SA-0039855"
"WO00030839","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","3/26/2019 2:30 PM","3/26/2019","4/1/2019 12:13 PM","3/27/2019 9:30 AM","3/27/2019 5:30 PM","Manual","AU - VIC","SA-0034914"
"WO00030607","Onsite Visit","Due Date is in the past.","80.00","Completed","3/25/2019 9:01 AM","3/25/2019","4/3/2019 1:00 PM","3/25/2019 10:00 PM","3/26/2019 12:01 PM","Manual","NZ - North Island","SA-0036005"
"WO00039551","Onsite Visit","","80.00","Completed","6/4/2019 4:20 PM","6/4/2019","6/12/2019 11:06 AM","6/11/2019 8:30 AM","6/11/2019 4:20 PM","Manual","AU - NSW","SA-0043681"
"WO00032991","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","4/10/2019 4:52 PM","4/10/2019","4/11/2019 11:00 AM","4/10/2019 12:00 AM","4/10/2019 10:52 PM","Manual","AU - NSW","SA-0037053"
"WO00032754","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","4/9/2019 1:52 PM","4/9/2019","4/9/2019 2:15 PM","4/9/2019 12:00 AM","4/9/2019 5:52 PM","Manual","AU - QLD","SA-0036816"
"WO00035068","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","5/1/2019 3:41 PM","5/1/2019","5/2/2019 10:00 AM","5/1/2019 12:00 AM","5/1/2019 7:41 PM","Manual","AU - NSW","SA-0039219"
"WO00028889","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","3/12/2019 10:10 AM","3/12/2019","5/17/2019 10:30 AM","3/12/2019 1:30 AM","5/10/2019 11:19 PM","Manual","AU - NT","SA-0033249"
"WO00033899","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","4/17/2019 4:55 PM","4/17/2019","4/18/2019 9:00 AM","4/17/2019 12:00 AM","4/18/2019 9:01 PM","Manual","AU - NSW","SA-0037974"
"WO00033899","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","4/17/2019 4:55 PM","4/17/2019","4/18/2019 3:30 PM","4/17/2019 12:00 AM","4/18/2019 9:01 PM","Manual","AU - NSW","SA-0037975"
"WO00037460","Onsite Visit","No SSRs were found.","80.00","Completed","5/20/2019 7:30 PM","5/20/2019","5/22/2019 12:00 PM","5/22/2019 8:30 AM","5/22/2019 11:30 AM","Manual","AU - NSW","SA-0041585"
"WO00035356","Onsite Visit","","80.00","In Progress","5/3/2019 2:35 PM","5/3/2019","6/14/2019 8:30 AM","5/3/2019 2:42 PM","5/3/2019 8:43 PM","Manual","AU - ACT","SA-0039500"
"WO00033819","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","4/12/2019 1:54 PM","4/12/2019","5/8/2019 9:30 AM","4/19/2018 9:30 AM","5/8/2019 5:39 AM","Manual","AU - SA","SA-0037992"
"WO00033819","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","4/12/2019 1:54 PM","4/12/2019","5/8/2019 10:30 AM","4/12/2019 12:30 AM","5/8/2019 5:39 AM","Manual","AU - SA","SA-0037993"
"WO00035163","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","5/2/2019 11:42 AM","5/2/2019","5/6/2019 12:15 PM","5/2/2019 12:00 AM","5/2/2019 3:42 PM","Manual","AU - NSW","SA-0039320"
"WO00031614","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","4/1/2019 2:10 PM","4/1/2019","4/1/2019 4:15 PM","4/1/2019 12:00 AM","4/1/2019 4:10 PM","Manual","AU - VIC","SA-0035732"
"WO00034875","Onsite Visit","No Service Territory","80.00","Completed","4/30/2019 1:35 PM","4/30/2019","5/2/2019 11:30 AM","4/29/2019 10:00 PM","4/30/2019 5:35 PM","Manual","","SA-0039016"
"WO00033731","Onsite Visit","No SSRs were found.","80.00","Completed","4/16/2019 6:15 PM","4/16/2019","4/17/2019 1:30 PM","4/16/2019 12:00 AM","4/17/2019 2:37 PM","Manual","AU - VIC","SA-0037832"
"WO00037563","Onsite Visit","No SSRs were found.","80.00","Completed","5/21/2019 11:30 AM","5/21/2019","5/22/2019 11:30 AM","5/22/2019 8:30 AM","5/22/2019 2:30 PM","Manual","AU - QLD","SA-0041685"
"WO00033628","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","4/16/2019 11:14 AM","4/16/2019","4/17/2019 12:45 PM","4/16/2019 12:00 AM","4/17/2019 5:29 PM","Manual","AU - NSW","SA-0037674"
"WO00031541","Onsite Visit","No Service Territory","80.00","Completed","4/1/2019 8:47 AM","4/1/2019","4/3/2019 1:30 PM","3/31/2019 10:00 PM","4/1/2019 12:47 PM","Manual","NZ - North Island","SA-0035634"
"WO00031453","Onsite Visit","","80.00","Completed","3/30/2019 4:03 PM","3/30/2019","4/4/2019 9:30 AM","4/4/2019 9:30 AM","4/4/2019 6:30 PM","Manual","AU - NSW","SA-0035543"
"WO00035332","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/3/2019 11:54 AM","5/3/2019","5/3/2019 4:45 PM","5/3/2019 12:00 AM","5/3/2019 3:54 PM","Manual","AU - VIC","SA-0039482"
"WO00032920","Onsite Visit","No SSRs were found.","80.00","Completed","4/10/2019 12:42 PM","4/10/2019","4/23/2019 5:00 PM","4/11/2019 10:00 PM","4/18/2019 9:14 AM","Manual","NZ - North Island","SA-0037471"
"WO00031664","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","4/1/2019 5:00 PM","4/1/2019","4/8/2019 11:00 AM","4/3/2019 9:30 AM","4/3/2019 11:00 AM","Manual","AU - QLD","SA-0035749"
"WO00031664","Parts Pickup","Parts are not available by the Due Date.","20.00","Completed","4/1/2019 5:00 PM","4/1/2019","4/8/2019 9:30 AM","4/3/2019 1:00 AM","4/3/2019 11:00 AM","Manual","AU - QLD","SA-0036365"
"WO00035338","Parts Pickup","Parts are not available by the Due Date.","80.00","Completed","5/3/2019 12:12 PM","5/3/2019","5/21/2019 3:30 PM","5/3/2019 12:00 AM","5/3/2019 4:12 PM","Manual","AU - VIC","SA-0040653"
"WO00035338","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/3/2019 12:12 PM","5/3/2019","5/21/2019 3:30 PM","5/3/2019 12:00 AM","5/14/2019 2:44 AM","Manual","AU - VIC","SA-0040649"
"WO00031631","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","4/1/2019 3:01 PM","4/1/2019","4/1/2019 4:00 PM","4/1/2019 12:00 AM","4/1/2019 7:01 PM","Manual","AU - VIC","SA-0035727"
"WO00029037","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","3/13/2019 9:06 AM","3/13/2019","3/13/2019 1:00 PM","3/13/2019 12:00 AM","3/13/2019 1:06 PM","Manual","AU - VIC","SA-0032864"
"WO00029038","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","3/13/2019 9:06 AM","3/13/2019","4/9/2019 10:00 AM","3/13/2019 12:00 AM","3/13/2019 1:06 PM","Manual","AU - VIC","SA-0032866"
"WO00032123","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","4/4/2019 1:25 PM","4/4/2019","4/5/2019 2:45 PM","4/4/2019 1:00 AM","4/4/2019 5:25 PM","Manual","AU - QLD","SA-0036201"
"WO00037777","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","5/22/2019 2:43 PM","5/22/2019","5/23/2019 8:43 AM","5/23/2019 8:43 AM","5/23/2019 9:43 AM","Manual","AU - VIC","SA-0041899"
"WO00036123","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","5/9/2019 4:23 PM","5/9/2019","5/10/2019 12:00 PM","5/9/2019 12:00 AM","5/10/2019 3:27 PM","Manual","AU - VIC","SA-0040248"
"WO00039888","Parts Pickup","","30.00","Completed","6/6/2019 1:22 PM","6/6/2019","6/6/2019 4:00 PM","6/6/2019 4:00 PM","6/6/2019 5:22 PM","Manual","AU - NSW","SA-0044028"
"WO00039888","Onsite Visit","No SSRs were found.","80.00","Completed","6/6/2019 1:22 PM","6/6/2019","6/7/2019 9:00 AM","6/6/2019 12:00 AM","6/6/2019 5:22 PM","Manual","AU - NSW","SA-0044029"
"WO00029973","Onsite Visit","Due Date is in the past.","80.00","Completed","3/20/2019 11:49 AM","3/20/2019","4/8/2019 2:15 PM","4/8/2019 11:14 AM","4/9/2019 11:14 AM","Manual","AU - NSW","SA-0036564"
"WO00035507","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","5/6/2019 9:58 AM","5/6/2019","5/7/2019 9:00 AM","5/6/2019 12:00 AM","5/6/2019 3:58 PM","Manual","AU - VIC","SA-0039653"
"WO00035507","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/6/2019 9:58 AM","5/6/2019","5/7/2019 10:30 AM","5/6/2019 12:00 AM","5/6/2019 3:58 PM","Manual","AU - VIC","SA-0039654"
"WO00029953","Onsite Visit","No SSRs were found.","80.00","Completed","3/20/2019 10:14 AM","3/20/2019","5/6/2019 3:16 PM","5/3/2019 10:20 AM","5/3/2019 10:20 AM","Manual","AU - VIC","SA-0033863"
"WO00030133","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","3/21/2019 3:54 AM","3/21/2019","4/5/2019 3:00 PM","3/21/2019 1:00 AM","3/21/2019 7:54 AM","Manual","AU - ACT","SA-0034338"
"WO00037783","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/22/2019 4:10 PM","5/22/2019","5/23/2019 10:30 AM","5/22/2019 12:00 AM","5/22/2019 8:10 PM","Manual","AU - NSW","SA-0041904"
"WO00037783","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","5/22/2019 4:10 PM","5/22/2019","5/23/2019 9:15 AM","5/22/2019 12:00 AM","5/22/2019 8:10 PM","Optimization","AU - NSW","SA-0041903"
"WO00039903","Onsite Visit","No SSRs were found.","80.00","Completed","6/6/2019 2:50 PM","6/6/2019","6/11/2019 9:30 AM","6/11/2019 8:30 AM","6/11/2019 8:50 AM","Manual","AU - NSW","SA-0044049"
"WO00039903","Parts Pickup","","80.00","Completed","6/6/2019 2:50 PM","6/6/2019","6/11/2019 9:30 AM","6/11/2019 8:30 AM","6/11/2019 8:50 AM","Manual","AU - NSW","SA-0044092"
"WO00030010","Onsite Visit","","80.00","Completed","3/20/2019 1:02 PM","3/20/2019","4/2/2019 5:00 PM","3/20/2019 12:00 AM","3/20/2019 5:02 PM","Manual","AU - VIC","SA-0033926"
"WO00039932","Onsite Visit","No SSRs were found.","80.00","Completed","6/6/2019 4:10 PM","6/6/2019","6/11/2019 11:00 AM","6/11/2019 8:30 AM","6/11/2019 10:10 AM","Manual","AU - NSW","SA-0044078"
"WO00035623","Onsite Visit","No SSRs were found.","80.00","Completed","5/6/2019 6:30 PM","5/6/2019","5/8/2019 3:30 PM","5/8/2019 8:30 AM","5/8/2019 11:30 AM","Manual","AU - NSW","SA-0039721"
"WO00032147","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","4/4/2019 2:47 PM","4/4/2019","4/4/2019 5:00 PM","4/4/2019 1:00 AM","4/4/2019 6:47 PM","Manual","AU - QLD","SA-0036227"
"WO00032147","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","4/4/2019 2:47 PM","4/4/2019","4/5/2019 5:00 PM","4/4/2019 1:00 AM","4/4/2019 6:47 PM","Manual","AU - QLD","SA-0036228"
"WO00040047","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","6/7/2019 1:36 PM","6/7/2019","6/10/2019 9:42 AM","6/10/2019 9:42 AM","6/10/2019 10:42 AM","Manual","AU - NSW","SA-0044235"
"WO00036091","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","5/9/2019 1:19 PM","5/9/2019","5/13/2019 9:15 AM","5/10/2019 9:00 PM","5/10/2019 10:39 PM","Optimization","AU - QLD","SA-0040212"
"WO00036091","Onsite Visit","No SSRs were found.","80.00","Completed","5/9/2019 1:19 PM","5/9/2019","5/13/2019 10:00 AM","5/10/2019 8:30 AM","5/10/2019 10:39 PM","Manual","AU - QLD","SA-0040213"
"WO00030315","Onsite Visit","No SSRs were found.","80.00","Completed","3/21/2019 2:58 PM","3/21/2019","4/4/2019 11:00 AM","3/21/2019 12:00 AM","3/21/2019 6:58 PM","Manual","AU - VIC","SA-0034339"
"WO00039436","Onsite Visit","","80.00","In Progress","6/4/2019 11:02 AM","6/4/2019","6/4/2019 11:00 AM","6/4/2019 12:00 AM","6/4/2019 3:02 PM","Manual","AU - NSW","SA-0043559"
"WO00032479","Parts Pickup","Parts are not available by the Due Date.","80.00","Completed","4/8/2019 8:13 AM","4/8/2019","","4/7/2019 10:00 PM","4/8/2019 12:13 PM","None","NZ - North Island","SA-0043597"
"WO00032479","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","4/8/2019 8:13 AM","4/8/2019","6/6/2019 7:30 AM","4/7/2019 10:00 PM","4/8/2019 12:13 PM","Manual","NZ - North Island","SA-0036737"
"WO00030541","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","3/23/2019 10:19 AM","3/23/2019","4/16/2019 2:45 PM","3/23/2019 12:00 AM","3/23/2019 4:19 PM","Manual","AU - NSW","SA-0034618"
"WO00028940","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","3/12/2019 12:23 PM","3/12/2019","4/9/2019 12:00 PM","3/12/2019 12:00 AM","3/12/2019 2:23 PM","Manual","AU - VIC","SA-0032762"
"WO00031425","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","3/30/2019 4:37 AM","3/30/2019","4/2/2019 11:00 AM","3/30/2019 12:00 AM","3/30/2019 10:37 AM","Manual","AU - VIC","SA-0035521"
"WO00028556","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","3/8/2019 12:44 PM","3/8/2019","5/28/2019 12:15 PM","5/17/2019 11:43 AM","5/28/2019 1:24 PM","Manual","NZ - South Island","SA-0037226"
