"Work Order Number","SA: Type","SA: Schedule Exception Reason","SA: Duration","SA: Status","Entitlement Process Start Time","Created Date","SA: Scheduled Start","SA: Earliest Start Permitted","SA: Due Date","SA: Schedule Mode","SA: Service Territory","SA: Appointment Number"
"WO00037193","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/17/2019 2:16 PM","5/17/2019","5/20/2019 12:16 PM","5/17/2019 10:30 AM","5/17/2019 6:16 PM","Manual","AU - VIC","SA-0041329"
"WO00037030","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","5/16/2019 3:28 PM","5/16/2019","5/22/2019 11:45 AM","5/16/2019 12:00 AM","5/22/2019 4:06 PM","Manual","AU - NSW","SA-0041211"
"WO00037030","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/16/2019 3:28 PM","5/16/2019","5/27/2019 11:00 AM","5/16/2019 12:00 AM","5/22/2019 4:06 PM","Manual","AU - NSW","SA-0041212"
"WO00039216","Onsite Visit","","80.00","Dispatched","6/2/2019 7:38 PM","6/2/2019","6/6/2019 7:45 PM","6/2/2019 12:00 AM","6/2/2019 11:38 PM","Manual","AU - NSW","SA-0043308"
"WO00038872","Onsite Visit","","80.00","Completed","5/30/2019 1:55 PM","5/30/2019","6/3/2019 9:00 AM","6/5/2019 8:30 AM","6/5/2019 1:55 PM","Manual","AU - VIC","SA-0042963"
"WO00039464","Onsite Visit","","80.00","Completed","6/4/2019 12:00 PM","6/4/2019","6/11/2019 9:30 AM","6/5/2019 8:30 AM","6/5/2019 3:00 PM","Manual","AU - NSW","SA-0043613"
"WO00037260","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","5/18/2019 10:38 AM","5/18/2019","5/20/2019 3:00 PM","5/18/2019 12:00 AM","5/18/2019 2:38 PM","Manual","AU - ACT","SA-0041382"
"WO00037260","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/18/2019 10:38 AM","5/18/2019","5/20/2019 3:45 PM","5/18/2019 12:00 AM","5/18/2019 2:38 PM","Manual","AU - ACT","SA-0041383"
"WO00037457","Onsite Visit","No SSRs were found.","80.00","Completed","5/20/2019 6:50 PM","5/20/2019","5/24/2019 9:15 AM","5/22/2019 8:30 AM","5/22/2019 11:30 AM","Manual","AU - VIC","SA-0041581"
"WO00037241","Parts Pickup","","30.00","Completed","5/18/2019 12:14 AM","5/18/2019","5/20/2019 8:45 AM","5/20/2018 3:00 PM","5/18/2019 6:14 AM","Optimization","AU - QLD","SA-0041369"
"WO00037241","Onsite Visit","No SSRs were found.","45.00","Completed","5/18/2019 12:14 AM","5/18/2019","5/20/2019 9:30 AM","5/18/2019 12:00 AM","5/18/2019 6:14 AM","Optimization","AU - QLD","SA-0041370"
"WO00039208","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","6/2/2019 7:46 AM","6/2/2019","6/2/2019 2:45 PM","6/2/2019 12:00 AM","6/2/2019 11:46 AM","Manual","AU - QLD","SA-0043301"
"WO00039208","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","6/2/2019 7:46 AM","6/2/2019","6/2/2019 2:15 PM","6/2/2019 12:00 AM","6/2/2019 11:46 AM","Manual","AU - QLD","SA-0043300"
"WO00039307","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","6/3/2019 1:31 PM","6/3/2019","6/11/2019 1:45 PM","6/3/2019 12:00 AM","6/6/2019 2:06 PM","Manual","AU - ACT","SA-0043896"
"WO00039307","Parts Pickup","Parts are not available by the Due Date.","80.00","Completed","6/3/2019 1:31 PM","6/3/2019","6/11/2019 1:00 PM","6/3/2019 12:00 AM","6/3/2019 5:31 PM","Manual","AU - ACT","SA-0043917"
"WO00039119","Parts Pickup","","80.00","Completed","5/31/2019 3:50 PM","5/31/2019","5/31/2019 4:30 PM","6/4/2019 8:30 AM","6/4/2019 9:50 AM","Manual","AU - NSW","SA-0043234"
"WO00039119","Onsite Visit","No SSRs were found.","80.00","Completed","5/31/2019 3:50 PM","5/31/2019","6/3/2019 5:00 PM","6/4/2019 8:30 AM","6/4/2019 9:50 AM","Manual","AU - NSW","SA-0043217"
"WO00039112","Parts Pickup","","80.00","Completed","5/31/2019 3:10 PM","5/31/2019","6/3/2019 4:00 PM","6/4/2019 8:30 AM","6/4/2019 9:10 AM","Manual","AU - NSW","SA-0043232"
"WO00039112","Onsite Visit","No SSRs were found.","80.00","Completed","5/31/2019 3:10 PM","5/31/2019","6/3/2019 10:30 AM","6/4/2019 8:30 AM","6/4/2019 9:10 AM","Manual","AU - NSW","SA-0043208"
"WO00038880","Onsite Visit","","80.00","Dispatched","5/30/2019 2:19 PM","5/30/2019","6/29/2019 8:00 AM","6/29/2019 8:30 AM","6/29/2019 9:19 AM","Manual","AU - NSW","SA-0042974"
"WO00038819","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/30/2019 10:40 AM","5/30/2019","5/31/2019 12:30 PM","5/31/2019 8:30 AM","5/31/2019 1:40 PM","Manual","AU - QLD","SA-0042921"
"WO00037093","Parts Pickup","Parts are not available by the Due Date.","30.00","Completed","5/17/2019 6:14 AM","5/17/2019","5/20/2019 6:30 AM","5/16/2019 10:00 PM","5/17/2019 12:14 PM","Manual","NZ - North Island","SA-0041256"
"WO00037093","Onsite Visit","Parts are not available by the Due Date.","80.00","Completed","5/17/2019 6:14 AM","5/17/2019","5/20/2019 7:15 AM","5/16/2019 10:00 PM","5/17/2019 12:14 PM","Manual","NZ - North Island","SA-0041257"
"WO00038817","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","5/30/2019 10:36 AM","5/30/2019","5/31/2019 1:30 PM","5/30/2019 12:00 AM","5/30/2019 2:36 PM","Manual","AU - VIC","SA-0042924"
"WO00037131","Parts Pickup","","30.00","Completed","5/17/2019 10:31 AM","5/17/2019","5/20/2019 9:00 AM","5/20/2019 7:00 AM","5/20/2019 1:31 PM","Manual","NZ - North Island","SA-0041247"
"WO00037131","Onsite Visit","","80.00","Completed","5/17/2019 10:31 AM","5/17/2019","5/20/2019 11:30 AM","5/20/2019 6:30 AM","5/20/2019 1:31 PM","Manual","NZ - North Island","SA-0041248"
"WO00038820","Parts Pickup","","80.00","Completed","5/29/2019 7:27 PM","5/29/2019","5/30/2019 4:00 PM","5/29/2019 12:00 AM","5/29/2019 11:27 PM","Manual","AU - NSW","SA-0042951"
"WO00038820","Onsite Visit","No SSRs were found.","80.00","Completed","5/29/2019 7:27 PM","5/29/2019","5/30/2019 4:00 PM","5/29/2019 12:00 AM","5/30/2019 6:24 PM","Manual","AU - NSW","SA-0042946"
"WO00036950","Onsite Visit","Invalid ""No Skill"" Skill Requirement on the Work Order.","80.00","Completed","5/16/2019 9:58 AM","5/16/2019","5/17/2019 12:34 PM","5/17/2019 12:34 PM","5/17/2019 1:34 PM","Manual","AU - VIC","SA-0041095"
